"factor","level","scale","variance"
"NDVI",1,15.625,0.0503635830942165
"NDVI",2,31.25,0.0873830246227994
"NDVI",3,62.5,0.101814010834767
"NDVI",4,125,0.103746281392863
"NDVI",5,250,0.10540440213526
"NDVI",6,500,0.095639281332332
"NDVI",7,1000,0.081486213748486
"NDVI",8,2000,0.0580499277011246
"NDVI",9,4000,0.0471323927980729
"NDVI",10,8000,0.0671910307678696
"NDVI",11,16000,0.187427783737317
"NDVI",12,32000,0.0143621818585161
"NDVI",13,64000,5.48113743421278e-10
"ca_Wa",1,15.625,0.0887743302146259
"ca_Wa",2,31.25,0.084597974908509
"ca_Wa",3,62.5,0.111462806422464
"ca_Wa",4,125,0.114745452675425
"ca_Wa",5,250,0.135195232407041
"ca_Wa",6,500,0.134333213831127
"ca_Wa",7,1000,0.119070019608183
"ca_Wa",8,2000,0.0742350769991206
"ca_Wa",9,4000,0.0659834296132927
"ca_Wa",10,8000,0.0439357200871519
"ca_Wa",11,16000,0.0231683635974521
"ca_Wa",12,32000,0.00449837976427415
"ca_Wa",13,64000,0
"ca_Ur",1,15.625,0.165717161951525
"ca_Ur",2,31.25,0.129772090011206
"ca_Ur",3,62.5,0.100864614951853
"ca_Ur",4,125,0.0704762556722953
"ca_Ur",5,250,0.0654447161159148
"ca_Ur",6,500,0.0587636763280697
"ca_Ur",7,1000,0.0536007568979509
"ca_Ur",8,2000,0.0381063397673404
"ca_Ur",9,4000,0.0425233108144279
"ca_Ur",10,8000,0.0806134004319844
"ca_Ur",11,16000,0.178992415797252
"ca_Ur",12,32000,0.0151252611528057
"ca_Ur",13,64000,0
"ca_Su",1,15.625,0.179089704348316
"ca_Su",2,31.25,0.140149644962132
"ca_Su",3,62.5,0.120386762632869
"ca_Su",4,125,0.0952570109601343
"ca_Su",5,250,0.0921451210844486
"ca_Su",6,500,0.0905385759339041
"ca_Su",7,1000,0.0812746284532858
"ca_Su",8,2000,0.0622591148899427
"ca_Su",9,4000,0.043849216372579
"ca_Su",10,8000,0.0437610838416138
"ca_Su",11,16000,0.0363754789899852
"ca_Su",12,32000,0.0149136577304141
"ca_Su",13,64000,0
"ca_Wo",1,15.625,0.154307395034194
"ca_Wo",2,31.25,0.130545877370833
"ca_Wo",3,62.5,0.147700115924217
"ca_Wo",4,125,0.135061630531113
"ca_Wo",5,250,0.121191763782668
"ca_Wo",6,500,0.10287254960709
"ca_Wo",7,1000,0.0786057111646378
"ca_Wo",8,2000,0.0510347843730938
"ca_Wo",9,4000,0.0297159374703133
"ca_Wo",10,8000,0.0163523985579241
"ca_Wo",11,16000,0.0270204199000983
"ca_Wo",12,32000,0.00559141623909706
"ca_Wo",13,64000,0
"ca_Ve",1,15.625,0.150167147274422
"ca_Ve",2,31.25,0.122841015829616
"ca_Ve",3,62.5,0.140174252861909
"ca_Ve",4,125,0.131832910007745
"ca_Ve",5,250,0.128455252671336
"ca_Ve",6,500,0.109464889681006
"ca_Ve",7,1000,0.0770066014654437
"ca_Ve",8,2000,0.046607215194461
"ca_Ve",9,4000,0.0200561408610778
"ca_Ve",10,8000,0.0168057667251677
"ca_Ve",11,16000,0.0489977838243569
"ca_Ve",12,32000,0.00759102387158505
"ca_Ve",13,64000,0
"ca_Ar",1,15.625,0.103966588315692
"ca_Ar",2,31.25,0.0809193672401511
"ca_Ar",3,62.5,0.0975256056177251
"ca_Ar",4,125,0.10953920136143
"ca_Ar",5,250,0.122257430690748
"ca_Ar",6,500,0.111155049330145
"ca_Ar",7,1000,0.0888746387492954
"ca_Ar",8,2000,0.0591107977681436
"ca_Ar",9,4000,0.0596269982969497
"ca_Ar",10,8000,0.0368816410025555
"ca_Ar",11,16000,0.0979031475657207
"ca_Ar",12,32000,0.0322395337361999
"ca_Ar",13,64000,0
